user_id,total_behaviors,pv_count,fav_count,cart_count,buy_count,last_event_date,first_event_date,active_days,recency_days,frequency,R_score,F_score,A_score,user_segment
1,55,55.0,0.0,0.0,0.0,2017-12-03,2017-11-25,9,0,0.0,5,1,4,高活跃低转化用户
13,11,7.0,0.0,4.0,0.0,2017-12-03,2017-11-26,5,0,0.0,5,1,1,一般发展用户
19,75,74.0,0.0,1.0,0.0,2017-12-03,2017-11-25,7,0,0.0,5,1,2,一般发展用户
21,306,299.0,6.0,1.0,0.0,2017-12-03,2017-11-25,9,0,0.0,5,1,4,高活跃低转化用户
27,47,42.0,0.0,3.0,2.0,2017-12-03,2017-11-25,6,0,2.0,5,3,2,一般发展用户
100,95,81.0,6.0,0.0,8.0,2017-12-03,2017-11-25,8,0,8.0,5,5,3,重要发展用户
115,230,216.0,11.0,3.0,0.0,2017-12-03,2017-11-25,9,0,0.0,5,1,4,高活跃低转化用户
117,110,96.0,0.0,4.0,10.0,2017-12-03,2017-11-25,8,0,10.0,5,5,3,重要发展用户
118,88,88.0,0.0,0.0,0.0,2017-12-03,2017-11-25,9,0,0.0,5,1,4,高活跃低转化用户
119,142,132.0,6.0,1.0,3.0,2017-12-03,2017-11-25,9,0,3.0,5,4,4,核心高价值用户
121,101,80.0,7.0,13.0,1.0,2017-12-03,2017-11-25,6,0,1.0,5,2,2,一般发展用户
122,275,236.0,26.0,10.0,3.0,2017-12-03,2017-11-25,8,0,3.0,5,4,3,重要发展用户
134,58,40.0,0.0,18.0,0.0,2017-12-03,2017-11-25,7,0,0.0,5,1,2,一般发展用户
138,16,15.0,0.0,1.0,0.0,2017-12-03,2017-11-26,4,0,0.0,5,1,1,一般发展用户
155,104,96.0,1.0,7.0,0.0,2017-12-03,2017-11-26,6,0,0.0,5,1,2,一般发展用户
159,24,24.0,0.0,0.0,0.0,2017-12-03,2017-11-26,5,0,0.0,5,1,1,一般发展用户
161,31,31.0,0.0,0.0,0.0,2017-12-03,2017-11-25,7,0,0.0,5,1,2,一般发展用户
165,88,87.0,0.0,0.0,1.0,2017-12-03,2017-11-25,8,0,1.0,5,2,3,一般发展用户
178,201,184.0,0.0,15.0,2.0,2017-12-03,2017-11-25,9,0,2.0,5,3,4,重要发展用户
179,51,44.0,2.0,4.0,1.0,2017-12-03,2017-11-25,7,0,1.0,5,2,2,一般发展用户
190,374,340.0,0.0,27.0,7.0,2017-12-03,2017-11-25,9,0,7.0,5,5,4,核心高价值用户
192,149,126.0,0.0,10.0,13.0,2017-12-03,2017-11-25,9,0,13.0,5,5,4,核心高价值用户
195,55,53.0,0.0,2.0,0.0,2017-12-03,2017-11-25,7,0,0.0,5,1,2,一般发展用户
209,104,94.0,0.0,7.0,3.0,2017-12-03,2017-11-25,9,0,3.0,5,4,4,核心高价值用户
210,38,23.0,2.0,11.0,2.0,2017-12-03,2017-11-30,4,0,2.0,5,3,1,一般发展用户
222,49,43.0,2.0,4.0,0.0,2017-12-03,2017-11-25,8,0,0.0,5,1,3,一般发展用户
223,25,24.0,0.0,0.0,1.0,2017-12-03,2017-11-27,5,0,1.0,5,2,1,一般发展用户
225,76,65.0,0.0,7.0,4.0,2017-12-03,2017-11-26,5,0,4.0,5,5,1,一般发展用户
229,50,43.0,5.0,2.0,0.0,2017-12-03,2017-11-25,8,0,0.0,5,1,3,一般发展用户
231,28,26.0,0.0,0.0,2.0,2017-12-03,2017-11-25,7,0,2.0,5,3,2,一般发展用户
244,13,11.0,0.0,0.0,2.0,2017-12-03,2017-11-26,4,0,2.0,5,3,1,一般发展用户
246,27,24.0,2.0,0.0,1.0,2017-12-03,2017-11-25,4,0,1.0,5,2,1,一般发展用户
247,65,64.0,0.0,1.0,0.0,2017-12-03,2017-11-25,5,0,0.0,5,1,1,一般发展用户
255,68,57.0,8.0,1.0,2.0,2017-12-03,2017-11-25,9,0,2.0,5,3,4,重要发展用户
265,22,18.0,1.0,1.0,2.0,2017-12-03,2017-11-27,4,0,2.0,5,3,1,一般发展用户
266,100,92.0,0.0,5.0,3.0,2017-12-03,2017-11-25,7,0,3.0,5,4,2,一般发展用户
269,83,72.0,6.0,5.0,0.0,2017-12-03,2017-11-25,7,0,0.0,5,1,2,一般发展用户
272,65,62.0,0.0,2.0,1.0,2017-12-03,2017-11-25,8,0,1.0,5,2,3,一般发展用户
275,18,13.0,0.0,2.0,3.0,2017-12-03,2017-11-30,4,0,3.0,5,4,1,一般发展用户
276,26,20.0,2.0,0.0,4.0,2017-12-03,2017-11-29,5,0,4.0,5,5,1,一般发展用户
283,50,50.0,0.0,0.0,0.0,2017-12-03,2017-11-25,7,0,0.0,5,1,2,一般发展用户
